Station,Time,Lat,Lon,Max Gust (mph),x,y
ADDI,2023-02-17 20:00:00+00:00,42.04036,-77.23726,19,-8598012.453467678,5167027.0949025825
ADDI,2023-02-17 21:00:00+00:00,42.04036,-77.23726,20,-8598012.453467678,5167027.0949025825
ANDE,2023-02-17 20:00:00+00:00,42.18227,-74.80139,21,-8326852.645429066,5188321.830394278
ANDE,2023-02-17 21:00:00+00:00,42.18227,-74.80139,24,-8326852.645429066,5188321.830394278
BATA,2023-02-17 20:00:00+00:00,43.01994,-78.13566,22,-8698021.883996354,5315007.410925742
BATA,2023-02-17 21:00:00+00:00,43.01994,-78.13566,30,-8698021.883996354,5315007.410925742
BEAC,2023-02-17 20:00:00+00:00,41.52875,-73.94527,15,-8231549.802971127,5090647.795295933
BEAC,2023-02-17 21:00:00+00:00,41.52875,-73.94527,19,-8231549.802971127,5090647.795295933
BELD,2023-02-17 20:00:00+00:00,42.22322,-75.66852,20,-8423381.115480637,5194475.587364399
BELD,2023-02-17 21:00:00+00:00,42.22322,-75.66852,24,-8423381.115480637,5194475.587364399
BELM,2023-02-17 20:00:00+00:00,42.24249,-78.03958,18,-8687326.307320936,5197372.765544314
BELM,2023-02-17 21:00:00+00:00,42.24249,-78.03958,23,-8687326.307320936,5197372.765544314
BERK,2023-02-17 20:00:00+00:00,42.3203,-76.20319,34,-8482900.307623077,5209080.241491501
BERK,2023-02-17 21:00:00+00:00,42.3203,-76.20319,32,-8482900.307623077,5209080.241491501
BING,2023-02-17 20:00:00+00:00,42.05843,-75.95104,24,-8454831.098019553,5169735.997070374
BING,2023-02-17 21:00:00+00:00,42.05843,-75.95104,29,-8454831.098019553,5169735.997070374
BKLN,2023-02-17 20:00:00+00:00,40.631762,-73.953678,21,-8232485.777249717,4958177.434463907
BKLN,2023-02-17 21:00:00+00:00,40.631762,-73.953678,32,-8232485.777249717,4958177.434463907
BRAN,2023-02-17 21:00:00+00:00,42.59494,-79.02154,17,-8796637.5945003,5250519.415488397
BREW,2023-02-17 20:00:00+00:00,41.43993,-73.57642,17,-8190489.608792028,5077449.405200292
BREW,2023-02-17 21:00:00+00:00,41.43993,-73.57642,28,-8190489.608792028,5077449.405200292
BROC,2023-02-17 20:00:00+00:00,43.20835,-77.96592,17,-8679126.513629103,5343738.80273724
BROC,2023-02-17 21:00:00+00:00,43.20835,-77.96592,21,-8679126.513629103,5343738.80273724
BRON,2023-02-17 20:00:00+00:00,40.872481,-73.893522,24,-8225789.241961558,4993550.796513148
BRON,2023-02-17 21:00:00+00:00,40.872481,-73.893522,27,-8225789.241961558,4993550.796513148
BROO,2023-02-17 20:00:00+00:00,42.79591,-75.29929,27,-8382278.619895036,5280958.681470486
BROO,2023-02-17 21:00:00+00:00,42.79591,-75.29929,29,-8382278.619895036,5280958.681470486
BSPA,2023-02-17 20:00:00+00:00,43.0228,-73.87498,20,-8223725.155963268,5315442.883579004
BSPA,2023-02-17 21:00:00+00:00,43.0228,-73.87498,22,-8223725.155963268,5315442.883579004
BUFF,2023-02-17 20:00:00+00:00,43.00017,-78.76717,17,-8768321.255627213,5311997.72271471
BUFF,2023-02-17 21:00:00+00:00,43.00017,-78.76717,15,-8768321.255627213,5311997.72271471
BURD,2023-02-17 20:00:00+00:00,42.41042,-76.77176,18,-8546193.230503408,5222658.018343306
BURD,2023-02-17 21:00:00+00:00,42.41042,-76.77176,22,-8546193.230503408,5222658.018343306
BURT,2023-02-17 20:00:00+00:00,43.31699,-78.74903,19,-8766301.920064224,5360346.097068549
BURT,2023-02-17 21:00:00+00:00,43.31699,-78.74903,20,-8766301.920064224,5360346.097068549
CAMD,2023-02-17 20:00:00+00:00,43.33985,-75.74299,15,-8431671.077960012,5363844.378562405
