id,OBS Time,category,Current WX,description_id,geom,Lon,Lat,ptype,Station,color,Time
3434571,2023-02-13 20:38:01Z,Rain/Snow,Rain,3,"{'type': 'Point', 'coordinates': [-106.47174311330973, 32.374600644627186]}",-106.47174311330973,32.374600644627186,6.0,MPING,#169c2f,2023-02-13 21:00:00+00:00
3434572,2023-02-13 20:40:12Z,Rain/Snow,Mixed Rain and Ice Pellets,11,"{'type': 'Point', 'coordinates': [-123.08153957975478, 44.0127434206886]}",-123.08153957975478,44.0127434206886,8.0,MPING,#42ffca,2023-02-13 21:00:00+00:00
3434577,2023-02-13 20:48:43Z,Rain/Snow,Rain,3,"{'type': 'Point', 'coordinates': [-106.49923115195172, 32.3831884178235]}",-106.49923115195172,32.3831884178235,6.0,MPING,#169c2f,2023-02-13 21:00:00+00:00
3434581,2023-02-13 20:58:19Z,Rain/Snow,Mixed Ice Pellets and Snow,10,"{'type': 'Point', 'coordinates': [-105.15011864150532, 38.99662725845963]}",-105.15011864150532,38.99662725845963,3.0,MPING,#56419c,2023-02-13 21:00:00+00:00
3434582,2023-02-13 20:58:42Z,Rain/Snow,Snow and/or Graupel,8,"{'type': 'Point', 'coordinates': [-116.24780112447652, 48.72283905080087]}",-116.24780112447652,48.72283905080087,1.0,MPING,#1f48cf,2023-02-13 21:00:00+00:00
3434584,2023-02-13 21:03:34Z,Rain/Snow,Ice Pellets/Sleet,7,"{'type': 'Point', 'coordinates': [-123.30067532817831, 43.383485741607586]}",-123.30067532817831,43.383485741607586,2.0,MPING,#ac6cd9,2023-02-13 22:00:00+00:00
3434585,2023-02-13 21:04:15Z,Rain/Snow,Ice Pellets/Sleet,7,"{'type': 'Point', 'coordinates': [-122.85261325261759, 42.35715810605414]}",-122.85261325261759,42.35715810605414,2.0,MPING,#ac6cd9,2023-02-13 22:00:00+00:00
3434587,2023-02-13 21:10:22Z,Rain/Snow,Rain,3,"{'type': 'Point', 'coordinates': [-110.9890718, 31.851093]}",-110.9890718,31.851093,6.0,MPING,#169c2f,2023-02-13 22:00:00+00:00
3434588,2023-02-13 21:15:24Z,Rain/Snow,Mixed Rain and Ice Pellets,11,"{'type': 'Point', 'coordinates': [-124.30595130017775, 43.33667780373464]}",-124.30595130017775,43.33667780373464,8.0,MPING,#42ffca,2023-02-13 22:00:00+00:00
3434589,2023-02-13 21:15:34Z,Rain/Snow,Rain,5,"{'type': 'Point', 'coordinates': [-106.5416244, 35.1114268]}",-106.5416244,35.1114268,6.0,MPING,#169c2f,2023-02-13 22:00:00+00:00
3434591,2023-02-13 21:17:36Z,Rain/Snow,Rain,3,"{'type': 'Point', 'coordinates': [-122.13900932127413, 48.07171602078043]}",-122.13900932127413,48.07171602078043,6.0,MPING,#169c2f,2023-02-13 22:00:00+00:00
3434593,2023-02-13 21:20:54Z,Rain/Snow,Snow and/or Graupel,8,"{'type': 'Point', 'coordinates': [-105.4756233, 39.4405632]}",-105.4756233,39.4405632,1.0,MPING,#1f48cf,2023-02-13 22:00:00+00:00
3434594,2023-02-13 21:24:11Z,Rain/Snow,Rain,3,"{'type': 'Point', 'coordinates': [-102.08251169549834, 32.02270643389676]}",-102.08251169549834,32.02270643389676,6.0,MPING,#169c2f,2023-02-13 22:00:00+00:00
3434595,2023-02-13 21:24:47Z,Rain/Snow,Rain,5,"{'type': 'Point', 'coordinates': [-110.9890997, 31.8511202]}",-110.9890997,31.8511202,6.0,MPING,#169c2f,2023-02-13 22:00:00+00:00
3434597,2023-02-13 21:33:48Z,Rain/Snow,Snow and/or Graupel,8,"{'type': 'Point', 'coordinates': [-117.07771940019963, 46.907983674427115]}",-117.07771940019963,46.907983674427115,1.0,MPING,#1f48cf,2023-02-13 22:00:00+00:00
3434598,2023-02-13 21:34:55Z,Rain/Snow,Mixed Rain and Ice Pellets,11,"{'type': 'Point', 'coordinates': [-122.39297616306915, 48.74331298754464]}",-122.39297616306915,48.74331298754464,8.0,MPING,#42ffca,2023-02-13 22:00:00+00:00
3434599,2023-02-13 21:34:57Z,Rain/Snow,Rain,5,"{'type': 'Point', 'coordinates': [-122.75358435437282, 48.120653806682874]}",-122.75358435437282,48.120653806682874,6.0,MPING,#169c2f,2023-02-13 22:00:00+00:00
3434600,2023-02-13 21:35:52Z,Rain/Snow,Snow and/or Graupel,8,"{'type': 'Point', 'coordinates': [-105.6608032343437, 32.9536931970761]}",-105.6608032343437,32.9536931970761,1.0,MPING,#1f48cf,2023-02-13 22:00:00+00:00
3434601,2023-02-13 21:38:46Z,Rain/Snow,Snow and/or Graupel,8,"{'type': 'Point', 'coordinates': [-116.08964295574482, 44.896104982456684]}",-116.08964295574482,44.896104982456684,1.0,MPING,#1f48cf,2023-02-13 22:00:00+00:00
