Station,Time,Lat,Lon,1 Hour Precipitation,x,y
0A9,2023-02-17 04:00:00+00:00,36.3712,-82.1734,0.05,-9147501.044751987,4351818.866831317
0A9,2023-02-17 05:00:00+00:00,36.3712,-82.1734,0.14,-9147501.044751987,4351818.866831317
0A9,2023-02-17 06:00:00+00:00,36.3712,-82.1734,0.05,-9147501.044751987,4351818.866831317
0A9,2023-02-17 07:00:00+00:00,36.3712,-82.1734,0.05,-9147501.044751987,4351818.866831317
0A9,2023-02-17 08:00:00+00:00,36.3712,-82.1734,0.08,-9147501.044751987,4351818.866831317
0A9,2023-02-17 09:00:00+00:00,36.3712,-82.1734,0.11,-9147501.044751987,4351818.866831317
0A9,2023-02-17 10:00:00+00:00,36.3712,-82.1734,0.27,-9147501.044751987,4351818.866831317
0A9,2023-02-17 11:00:00+00:00,36.3712,-82.1734,0.20,-9147501.044751987,4351818.866831317
0A9,2023-02-17 12:00:00+00:00,36.3712,-82.1734,0.21,-9147501.044751987,4351818.866831317
0A9,2023-02-17 13:00:00+00:00,36.3712,-82.1734,0.05,-9147501.044751987,4351818.866831317
0A9,2023-02-17 14:00:00+00:00,36.3712,-82.1734,0.03,-9147501.044751987,4351818.866831317
0A9,2023-02-17 15:00:00+00:00,36.3712,-82.1734,0.01,-9147501.044751987,4351818.866831317
0J4,2023-02-17 08:00:00+00:00,31.0425,-86.3116,0.0001,-9608163.361552712,3638269.8082730873
0J4,2023-02-17 10:00:00+00:00,31.0425,-86.3116,0.40,-9608163.361552712,3638269.8082730873
0J4,2023-02-17 11:00:00+00:00,31.0425,-86.3116,0.0001,-9608163.361552712,3638269.8082730873
0J4,2023-02-17 13:00:00+00:00,31.0425,-86.3116,0.0001,-9608163.361552712,3638269.8082730873
0J4,2023-02-17 14:00:00+00:00,31.0425,-86.3116,0.02,-9608163.361552712,3638269.8082730873
0J4,2023-02-17 15:00:00+00:00,31.0425,-86.3116,0.0001,-9608163.361552712,3638269.8082730873
0R4,2023-02-16 23:00:00+00:00,31.562,-91.5065,0.05,-10186456.98427469,3705952.6490212805
0R4,2023-02-17 01:00:00+00:00,31.562,-91.5065,0.09,-10186456.98427469,3705952.6490212805
0R4,2023-02-17 02:00:00+00:00,31.562,-91.5065,0.04,-10186456.98427469,3705952.6490212805
0R4,2023-02-17 03:00:00+00:00,31.562,-91.5065,0.03,-10186456.98427469,3705952.6490212805
0R4,2023-02-17 04:00:00+00:00,31.562,-91.5065,0.07,-10186456.98427469,3705952.6490212805
0R4,2023-02-17 05:00:00+00:00,31.562,-91.5065,0.01,-10186456.98427469,3705952.6490212805
10G,2023-02-17 01:00:00+00:00,40.5372,-81.9544,0.03,-9123122.076268261,4944316.573785769
10G,2023-02-17 07:00:00+00:00,40.5372,-81.9544,0.04,-9123122.076268261,4944316.573785769
10G,2023-02-17 08:00:00+00:00,40.5372,-81.9544,0.01,-9123122.076268261,4944316.573785769
10G,2023-02-17 09:00:00+00:00,40.5372,-81.9544,0.01,-9123122.076268261,4944316.573785769
12N,2023-02-16 22:00:00+00:00,41.0089,-74.7367,0.01,-8319651.387569648,5013654.500459242
12N,2023-02-17 13:00:00+00:00,41.0089,-74.7367,0.02,-8319651.387569648,5013654.500459242
12N,2023-02-17 14:00:00+00:00,41.0089,-74.7367,0.03,-8319651.387569648,5013654.500459242
12N,2023-02-17 15:00:00+00:00,41.0089,-74.7367,0.01,-8319651.387569648,5013654.500459242
12N,2023-02-17 17:00:00+00:00,41.0089,-74.7367,0.03,-8319651.387569648,5013654.500459242
12N,2023-02-17 18:00:00+00:00,41.0089,-74.7367,0.07,-8319651.387569648,5013654.500459242
12N,2023-02-17 19:00:00+00:00,41.0089,-74.7367,0.01,-8319651.387569648,5013654.500459242
15M,2023-02-16 22:00:00+00:00,34.7723,-88.1659,0.16,-9814583.093330678,4132980.516063273
15M,2023-02-16 23:00:00+00:00,34.7723,-88.1659,0.57,-9814583.093330678,4132980.516063273
15M,2023-02-17 00:00:00+00:00,34.7723,-88.1659,0.09,-9814583.093330678,4132980.516063273
15M,2023-02-17 01:00:00+00:00,34.7723,-88.1659,0.0001,-9814583.093330678,4132980.516063273
15M,2023-02-17 02:00:00+00:00,34.7723,-88.1659,0.03,-9814583.093330678,4132980.516063273
15M,2023-02-17 03:00:00+00:00,34.7723,-88.1659,0.11,-9814583.093330678,4132980.516063273
15M,2023-02-17 04:00:00+00:00,34.7723,-88.1659,0.12,-9814583.093330678,4132980.516063273
15M,2023-02-17 05:00:00+00:00,34.7723,-88.1659,0.02,-9814583.093330678,4132980.516063273
15M,2023-02-17 06:00:00+00:00,34.7723,-88.1659,0.02,-9814583.093330678,4132980.516063273
17J,2023-02-17 14:00:00+00:00,31.007,-84.8776,0.06,-9448531.211755157,3633658.260005798
17J,2023-02-17 16:00:00+00:00,31.007,-84.8776,0.03,-9448531.211755157,3633658.260005798
17J,2023-02-17 17:00:00+00:00,31.007,-84.8776,0.01,-9448531.211755157,3633658.260005798
18A,2023-02-17 10:00:00+00:00,34.3404,-83.1308,0.01,-9254078.325237466,4074601.527229732
18A,2023-02-17 11:00:00+00:00,34.3404,-83.1308,0.03,-9254078.325237466,4074601.527229732
18A,2023-02-17 12:00:00+00:00,34.3404,-83.1308,0.01,-9254078.325237466,4074601.527229732
18A,2023-02-17 13:00:00+00:00,34.3404,-83.1308,0.01,-9254078.325237466,4074601.527229732
18A,2023-02-17 14:00:00+00:00,34.3404,-83.1308,0.03,-9254078.325237466,4074601.527229732
18A,2023-02-17 15:00:00+00:00,34.3404,-83.1308,0.04,-9254078.325237466,4074601.527229732
18A,2023-02-17 16:00:00+00:00,34.3404,-83.1308,0.03,-9254078.325237466,4074601.527229732
18A,2023-02-17 17:00:00+00:00,34.3404,-83.1308,0.02,-9254078.325237466,4074601.527229732
18A,2023-02-17 18:00:00+00:00,34.3404,-83.1308,0.02,-9254078.325237466,4074601.527229732
18A,2023-02-17 19:00:00+00:00,34.3404,-83.1308,0.01,-9254078.325237466,4074601.527229732
18A,2023-02-17 20:00:00+00:00,34.3404,-83.1308,0.01,-9254078.325237466,4074601.527229732
18A,2023-02-17 21:00:00+00:00,34.3404,-83.1308,0.01,-9254078.325237466,4074601.527229732
1A5,2023-02-17 04:00:00+00:00,35.22,-83.42,0.13,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 05:00:00+00:00,35.22,-83.42,0.17,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 06:00:00+00:00,35.22,-83.42,0.10,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 07:00:00+00:00,35.22,-83.42,0.21,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 08:00:00+00:00,35.22,-83.42,0.25,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 09:00:00+00:00,35.22,-83.42,0.15,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 10:00:00+00:00,35.22,-83.42,0.27,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 11:00:00+00:00,35.22,-83.42,0.19,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 12:00:00+00:00,35.22,-83.42,0.07,-9286271.92197488,4193818.6019500964
1A5,2023-02-17 13:00:00+00:00,35.22,-83.42,0.01,-9286271.92197488,4193818.6019500964
1A6,2023-02-17 00:00:00+00:00,36.6106,-83.7374,0.10,-9321604.728352666,4384967.54875845
1A6,2023-02-17 01:00:00+00:00,36.6106,-83.7374,0.43,-9321604.728352666,4384967.54875845
1A6,2023-02-17 02:00:00+00:00,36.6106,-83.7374,0.31,-9321604.728352666,4384967.54875845
1A6,2023-02-17 03:00:00+00:00,36.6106,-83.7374,0.31,-9321604.728352666,4384967.54875845
1A6,2023-02-17 04:00:00+00:00,36.6106,-83.7374,0.18,-9321604.728352666,4384967.54875845
1A6,2023-02-17 05:00:00+00:00,36.6106,-83.7374,0.24,-9321604.728352666,4384967.54875845
1A6,2023-02-17 06:00:00+00:00,36.6106,-83.7374,0.20,-9321604.728352666,4384967.54875845
1A6,2023-02-17 07:00:00+00:00,36.6106,-83.7374,0.41,-9321604.728352666,4384967.54875845
1A6,2023-02-17 08:00:00+00:00,36.6106,-83.7374,0.08,-9321604.728352666,4384967.54875845
1A6,2023-02-17 09:00:00+00:00,36.6106,-83.7374,0.10,-9321604.728352666,4384967.54875845
1A6,2023-02-17 10:00:00+00:00,36.6106,-83.7374,0.05,-9321604.728352666,4384967.54875845
1A6,2023-02-17 18:00:00+00:00,36.6106,-83.7374,0.01,-9321604.728352666,4384967.54875845
1A9,2023-02-17 07:00:00+00:00,32.4387,-86.5127,0.01,-9630549.711151239,3821035.586169279
1A9,2023-02-17 08:00:00+00:00,32.4387,-86.5127,0.15,-9630549.711151239,3821035.586169279
1A9,2023-02-17 09:00:00+00:00,32.4387,-86.5127,0.09,-9630549.711151239,3821035.586169279
1A9,2023-02-17 10:00:00+00:00,32.4387,-86.5127,0.03,-9630549.711151239,3821035.586169279
1A9,2023-02-17 11:00:00+00:00,32.4387,-86.5127,0.03,-9630549.711151239,3821035.586169279
1A9,2023-02-17 12:00:00+00:00,32.4387,-86.5127,0.08,-9630549.711151239,3821035.586169279
1A9,2023-02-17 13:00:00+00:00,32.4387,-86.5127,0.04,-9630549.711151239,3821035.586169279
1M4,2023-02-16 22:00:00+00:00,34.2803,-87.6004,0.0001,-9751631.921287082,4066501.853547923
