,Station,OBS Time,Lat,Lon,Current WX,Temperature (F),Wind (mph),peak_wind_gust,Real Feel Temperature,1 Hour Precipitation,WX Code,ptype,color,Time,Max Gust (mph),id,category,description_id,geom,x,y
0,FNB,2023-02-16 21:07:00Z,40.0788,-95.592,Snow and/or Graupel,26.10,13.0,26.0,14.01,0.0001,-SN,1.0,#1f48cf,2023-02-16 22:00:00+00:00,26.0,,,,,-10641252.763910607,4877399.896854324
1,GRR,2023-02-16 21:09:00Z,42.88,-85.52,Mixed Ice Pellets and Snow,28.00,17.0,29.0,14.83,0.0001,-PLSN BR,3.0,#56419c,2023-02-16 22:00:00+00:00,29.0,,,,,-9520042.852640755,5293724.4233221635
2,LWD,2023-02-16 21:11:00Z,40.6306,-93.9005,Snow and/or Graupel,25.00,14.0,27.0,12.14,0.0001,-SN,1.0,#1f48cf,2023-02-16 22:00:00+00:00,27.0,,,,,-10452955.845233783,4958006.989946115
3,GRR,2023-02-16 21:12:00Z,42.88,-85.52,Mixed Ice Pellets and Snow,28.00,16.0,29.0,15.20,0.0001,-PLSN BR,3.0,#56419c,2023-02-16 22:00:00+00:00,29.0,,,,,-9520042.852640755,5293724.4233221635
4,ORD,2023-02-16 21:12:00Z,41.9875,-87.9319,Snow and/or Graupel,32.00,20.0,30.0,19.14,0.0001,-SN BR,1.0,#1f48cf,2023-02-16 22:00:00+00:00,30.0,,,,,-9788534.332485052,5159107.1885415
5,GRR,2023-02-16 21:20:00Z,42.88,-85.52,Mixed Ice Pellets and Snow,28.00,17.0,29.0,14.83,0.0001,-PLSN BR,3.0,#56419c,2023-02-16 22:00:00+00:00,29.0,,,,,-9520042.852640755,5293724.4233221635
6,FNB,2023-02-16 21:21:00Z,40.0788,-95.592,Snow and/or Graupel,26.10,14.0,26.0,13.56,0.0001,-SN BR,1.0,#1f48cf,2023-02-16 22:00:00+00:00,26.0,,,,,-10641252.763910607,4877399.896854324
7,CWI,2023-02-16 21:26:00Z,41.8295,-90.3328,Snow and/or Graupel,28.40,21.0,29.0,14.05,0.01,-SN BR,1.0,#1f48cf,2023-02-16 22:00:00+00:00,29.0,,,,,-10055801.297930624,5135473.48853088
8,FNB,2023-02-16 21:28:00Z,40.0788,-95.592,Snow and/or Graupel,25.00,15.0,26.0,11.71,0.0001,SN FZFG,1.0,#1f48cf,2023-02-16 22:00:00+00:00,26.0,,,,,-10641252.763910607,4877399.896854324
9,DVN,2023-02-16 21:29:00Z,41.6133,-90.5948,Snow and/or Graupel,28.90,19.0,26.0,15.34,0.0001,-SN,1.0,#1f48cf,2023-02-16 22:00:00+00:00,26.0,,,,,-10084967.004518462,5103228.520552617
